MSOA_Code,MSOA_Name,no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000344,Greenwich 032,84,47.2,23.7,94.7,78.8,81.6
E02006786,Greenwich 033,85.3,47.8,27.2,107.5,75.1,82.9
E02006927,Greenwich 034,83.2,49.4,22.7,107.6,77.8,81.6
E02006928,Greenwich 035,90.8,54,17.7,98.7,77.8,82.6
E02006929,Greenwich 036,85.7,52.4,18.1,94.1,75.4,85
E02006930,Greenwich 037,88.7,55.5,18.1,94.1,75.4,85
E02006931,Greenwich 038,87.3,56.2,17.7,98.7,77.8,82.6
E02000345,Hackney 001,89.9,65.2,21.9,86.9,80.4,84.3
E02000346,Hackney 002,79.8,43.2,25.9,86.5,77.6,86.8
E02000347,Hackney 003,87,62,20.6,111.5,74.7,85.6
E02000348,Hackney 004,85.9,58.9,25.2,98.4,78.4,83.5
E02000350,Hackney 006,88.3,56.8,18.5,92.1,80,83.7
E02000351,Hackney 007,88.5,54.8,16.9,99.2,76.5,85.2
E02000352,Hackney 008,84.1,54,18.8,106.7,76.1,82.8
E02000353,Hackney 009,88.1,55.9,17.3,99,75.6,83.5
E02000354,Hackney 010,82.9,48.5,23.4,110.3,75.2,79.4
E02000355,Hackney 011,84.4,48.9,20.1,88,74.4,78.9
E02000356,Hackney 012,88,55.6,16,107.7,78.6,86
E02000357,Hackney 013,81.4,46.5,30.3,100,81,84
E02000358,Hackney 014,85.3,49,23,97.6,79.2,83.9
E02000359,Hackney 015,85.2,51.6,23.5,110,76.7,80.8
E02000360,Hackney 016,84.4,47.7,25.6,106.8,75.5,82.4
E02000361,Hackney 017,86.5,48.6,22,116.3,75.8,83.7
E02000362,Hackney 018,81.8,46.5,23.2,121.6,72.8,77.5
E02000363,Hackney 019,83.7,47.6,28.4,102.7,76.7,83.4
E02000364,Hackney 020,86.2,52.4,20,95.2,74.5,88.9
E02000365,Hackney 021,86.3,53.7,20.9,139.5,76.2,80.7
E02000366,Hackney 022,83.2,49.7,22.3,109.6,77,85.1
E02000367,Hackney 023,88.3,54.1,20.9,106.3,77.3,85.5
E02000368,Hackney 024,82.2,47.2,26.9,98.3,77.1,81.6
E02000369,Hackney 025,84.6,50.7,26.7,94.8,74.7,81.4
E02000370,Hackney 026,84.8,50.4,23.9,118.6,79,81.3
E02000371,Hackney 027,89.3,55.8,20.4,117.6,74.2,80.8
E02006918,Hackney 028,85,49,25.4,87.5,77.6,84.7
E02006921,Hackney 029,85.1,53.4,25.4,87.5,77.6,84.7
E02000372,Hammersmith and Fulham 001,84.6,48.8,21.9,94.8,75.4,84.2
E02000373,Hammersmith and Fulham 002,83.6,48.2,26.5,85.5,79.8,82.7
E02000374,Hammersmith and Fulham 003,84.7,53.6,16.3,87.2,78.8,87.9
E02000375,Hammersmith and Fulham 004,85,51.6,17.5,106.3,74.4,89
E02000376,Hammersmith and Fulham 005,86.7,52.3,17.2,101.1,77.3,84.1
E02000377,Hammersmith and Fulham 006,86.3,52.7,17.1,99.2,78.1,85.7
E02000378,Hammersmith and Fulham 007,88.3,55.7,15.6,93.1,79.2,88.5
E02000379,Hammersmith and Fulham 008,86.4,56.7,14.1,89,79.1,86.5
E02000380,Hammersmith and Fulham 009,88.6,58.9,14.8,95,79,92.7
E02000381,Hammersmith and Fulham 010,89.2,57.9,14.3,93.4,77.3,88.4
E02000382,Hammersmith and Fulham 011,87.6,57.5,14.9,93.1,74.7,82.5
E02000383,Hammersmith and Fulham 012,88.1,55.9,14,104.4,81.3,82.7
E02000384,Hammersmith and Fulham 013,82.7,49.9,17.4,103.6,75.7,80.7
E02000385,Hammersmith and Fulham 014,91.5,60.4,12.4,98.7,83.4,85.9
E02000386,Hammersmith and Fulham 015,84.6,52.4,18.1,102.4,75.7,82.3
E02000387,Hammersmith and Fulham 016,86.5,55.8,17.4,95.4,82.6,86.9
E02000388,Hammersmith and Fulham 017,87.4,57.5,13.7,105.4,76.3,81.4
E02000389,Hammersmith and Fulham 018,89.1,60.2,13.4,97.9,80.3,85.9
E02000390,Hammersmith and Fulham 019,87.6,58.3,14.4,99.3,78.7,82.2
E02000391,Hammersmith and Fulham 020,88.7,62.1,12.3,86.1,80.5,85.6
E02000392,Hammersmith and Fulham 021,89.9,61.9,13.7,99.5,79.5,83.2
E02000393,Hammersmith and Fulham 022,91,65.1,12.7,99.9,85.3,86.6
E02000394,Hammersmith and Fulham 023,88.2,57.9,16.4,102.1,78.5,84
E02000395,Hammersmith and Fulham 024,90.8,63.4,11.6,84.1,89.3,88.8
E02000396,Hammersmith and Fulham 025,89.8,60.3,15.1,96,83.8,84.9
E02000397,Haringey 001,86.3,46.2,17.9,99.4,76.2,83.8
E02000398,Haringey 002,83.6,42.7,31.3,89.4,75,82.3
E02000400,Haringey 004,85.9,50.5,18.6,127,78.9,80
E02000401,Haringey 005,82.6,43.9,27.5,106.1,75.6,78.2
E02000402,Haringey 006,82.7,43.8,26.4,106.1,74.7,83.2
E02000403,Haringey 007,85.9,47.6,17.5,93.9,78,87.1
E02000404,Haringey 008,84.1,44.2,22,107.8,76.2,81.7
E02000405,Haringey 009,89.4,57.9,14.7,101.3,79.7,84.6
E02000406,Haringey 010,83.3,44.4,22.4,104.2,74.9,82.7
E02000407,Haringey 011,83.6,44.9,27,115.7,74.7,86.4
E02000408,Haringey 012,84.7,43.8,28.5,110.8,76.6,80.9
E02000409,Haringey 013,82.8,45.9,27.8,91.6,76.6,82.3
E02000410,Haringey 014,89.1,59.2,13.2,100.9,80.6,84.5
E02000411,Haringey 015,85.9,44.5,28.6,86.8,76.9,82.3
E02000412,Haringey 016,82.8,45.2,20.8,88.6,78.2,84.8
E02000413,Haringey 017,88.5,59.1,14.3,98,78.7,83.6
E02000414,Haringey 018,86.2,45.4,24,97.7,78.4,81.4
E02000415,Haringey 019,84.7,44.7,18.3,93.4,77.5,85
E02000416,Haringey 020,83.7,49.1,17.8,111.5,74.2,81.9
E02000417,Haringey 021,89.4,59.5,12.8,95.3,79.5,83.6
E02000418,Haringey 022,88.6,58.1,12.8,94.1,78.6,88.3
E02000419,Haringey 023,87.2,49.6,16.9,90.3,74.2,85.7
E02000420,Haringey 024,83.7,43.2,24.1,110.6,74.6,82.1
E02000421,Haringey 025,83.5,43,25.8,97.6,73,80.6
E02000422,Haringey 026,83.9,44.5,25.2,110.6,74.4,81.5
E02000423,Haringey 027,85.5,47.4,18.8,72.9,74.1,83.9
E02000424,Haringey 028,88.4,56.1,15.2,89.6,80.5,85.1
E02000425,Haringey 029,88.7,59.3,21.9,90.5,77.7,82.7
E02000426,Haringey 030,87.2,55.8,13.5,96,81.5,84.9
E02000427,Haringey 031,88,51,16.6,88.5,77.3,82.1
E02000428,Haringey 032,83.7,47.2,25,104.8,72.9,82.8
E02000429,Haringey 033,90.3,58.7,12,100.2,77.4,84.5
E02000430,Haringey 034,91,58.7,13.2,91.5,79.6,84.6
E02000431,Haringey 035,92.2,59.7,11.8,99.6,81.5,87.7
E02000432,Haringey 036,87.6,51.8,16.3,120.9,75.3,81.9
E02006794,Haringey 037,83.1,44.5,28,98.2,70.9,82.7
E02000433,Harrow 001,79.8,45.6,16.7,74.6,83.6,87.5
E02000434,Harrow 002,84,48.4,17.6,87.2,83,85
E02000435,Harrow 003,81.2,47.7,20.3,87.1,80.9,82.4
E02000436,Harrow 004,85.3,49.4,16.9,90,84,86.3
E02000437,Harrow 005,83.8,46.5,21.4,89,80.9,85.1
E02000438,Harrow 006,82.7,46.1,19.3,88.4,80.5,82.5
E02000439,Harrow 007,85.8,45.2,19.9,81.5,80.9,86.9
E02000440,Harrow 008,87.4,47.7,19.4,84.8,80.3,84.7
E02000441,Harrow 009,82.8,46,18.8,101.8,81.1,86.7
E02000442,Harrow 010,87.3,46.8,21.8,91.7,79.2,83.2
E02000443,Harrow 011,84.9,47.5,22.1,99.6,75.1,81.1
E02000444,Harrow 012,86.6,46.1,20.3,76.6,79.7,84.5
E02000445,Harrow 013,85.6,46.6,21.7,88.1,77.9,82.4
E02000447,Harrow 015,85.3,48.4,18.3,82.1,84,84.5
E02000448,Harrow 016,86.1,52.3,15.4,90.7,83.1,87.2
E02000449,Harrow 017,83.8,42.4,22.1,74.3,80,85.3
E02000451,Harrow 019,86.4,47.8,16.8,80.7,82.1,85.2
E02000452,Harrow 020,87.9,50.1,16.6,80.8,77.8,82.6
E02000453,Harrow 021,86.9,50.7,16.7,65.8,81.2,87.1
E02000454,Harrow 022,88.4,53.4,16.9,81.3,83,88.7
E02000455,Harrow 023,86.2,47.7,17,91.3,79.2,82.8
E02000456,Harrow 024,85.7,49.2,16.9,84.2,81.8,82.8
E02000457,Harrow 025,86.2,46.2,18.3,80.8,81.8,86.9
E02000459,Harrow 027,85.3,46.8,18.8,86,78.3,84.3
E02000460,Harrow 028,84.6,48,22.7,91.5,77.7,85.9
E02000461,Harrow 029,89.4,56.6,15,79.5,81.6,85.4
E02000462,Harrow 030,85.7,45.8,20.3,71.8,82.7,84.1
E02000463,Harrow 031,85.5,46.8,24.4,79.4,79.6,84.8
E02006795,Harrow 032,86.1,46.5,19.8,74.4,82.3,85.3
E02006882,Harrow 033,85.6,44.7,20.7,78.6,81.6,82.9
E02000464,Havering 001,78.1,41.3,28.8,90,76.9,78.7
E02000465,Havering 002,80.9,43.2,30.1,97.9,78.5,85.2
E02000466,Havering 003,82,43.6,29.8,107.9,75.5,80.5
E02000467,Havering 004,79.3,41.8,30.4,108.9,75.5,81.7
E02000468,Havering 005,81.9,44.5,28.6,105.7,78.7,82.6
E02000469,Havering 006,78.4,42.2,31.1,87.8,78.2,82.4
E02000470,Havering 007,82,45.5,24.7,106,79.2,85.5
E02000471,Havering 008,83.5,47.5,28.2,85.7,80.4,84.8
E02000472,Havering 009,83.3,46.6,29.9,80.7,80.2,83.5
E02000473,Havering 010,84.9,48.9,26.4,96.6,80.1,83.8
E02000474,Havering 011,82.8,46.4,26.4,92.6,77,82.9
E02000475,Havering 012,85.2,49.6,23.7,83.3,81.1,83.4
E02000476,Havering 013,83.5,46.4,24.3,114.3,75.4,82.9
E02000477,Havering 014,85,48.9,26.8,84.7,80.5,83.2
E02000478,Havering 015,84,49.2,23.5,93.8,83.3,83.9
E02000479,Havering 016,84.8,48.3,27.3,104.5,74.8,83.1
E02000480,Havering 017,84.8,47.4,27.6,93,75,79.7
E02000481,Havering 018,80.3,45.1,25.6,99.3,78.9,81.3
E02000482,Havering 019,83.8,49.3,22.4,97.3,84.2,86.7
E02000483,Havering 020,80.9,43.7,26.2,104.4,79.9,82.8
E02000484,Havering 021,84.1,48,27.9,100.8,79.2,85.6
E02000485,Havering 022,83.6,47.5,25.2,91.3,80.2,84.9
E02000486,Havering 023,82.9,44.8,27.9,95.1,77.6,82.9
E02000487,Havering 024,85,50.3,22.7,94.7,80.8,83.8
E02000488,Havering 025,83.8,46.6,28.2,85.6,80.3,86
E02000489,Havering 026,81.7,43.6,28.9,100.9,77.2,83.8
E02000490,Havering 027,81.2,45.2,29.2,109.9,79.5,83.1
E02000491,Havering 028,81.7,43.6,30.1,106.1,76,80.3
E02000492,Havering 029,82.3,44.2,28.6,86.8,79.8,84.1
E02000493,Havering 030,84.7,45.5,29.3,97,76.6,83.2
E02000494,Hillingdon 001,85.5,49.4,15.9,94.3,81.9,86.9
E02000495,Hillingdon 002,84.2,47.1,18.1,94.8,80.6,83.9
E02000496,Hillingdon 003,82.4,46.2,23.3,103.2,78.8,81.7
E02000497,Hillingdon 004,84.9,49.3,21.7,100.9,80.2,86.2
E02000498,Hillingdon 005,84.5,48.6,24,84.9,79.6,86.4
E02000499,Hillingdon 006,86,50.5,21.7,81.5,81.7,86.7
E02000500,Hillingdon 007,85.9,50.2,18.6,93.4,82.3,85.6
E02000501,Hillingdon 008,86.2,50.1,22.6,102.8,79.5,83.7
E02000502,Hillingdon 009,86,50.5,20,91.1,80.2,83.8
E02000503,Hillingdon 010,88.5,53.1,25.7,98.1,81.8,86.7
E02000504,Hillingdon 011,85.6,52.2,20.5,88,81.9,89.4
E02000506,Hillingdon 013,85.1,50.4,19.9,95,78.9,83.6
E02000507,Hillingdon 014,87.1,50.9,25.3,87.9,77.1,83.6
E02000508,Hillingdon 015,87.8,54.2,19.3,108.4,77.3,84.7
E02000509,Hillingdon 016,89.1,52.6,18.1,104,75.9,82.9
E02000510,Hillingdon 017,84.9,49.3,24.7,79,78.2,80.9
E02000511,Hillingdon 018,85.5,47.8,26.1,93.2,77.6,81.6
E02000512,Hillingdon 019,83.6,47.5,26.1,92.7,78.3,83.1
E02000513,Hillingdon 020,86.6,48.4,26.9,80.2,76.1,82.6
E02000514,Hillingdon 021,85.3,46.4,23.6,73.8,79.6,84.4
E02000515,Hillingdon 022,85.6,49.3,24.3,95.6,77.1,80.7
E02000516,Hillingdon 023,87.3,49.2,23.9,69.7,81.9,85.2
E02000517,Hillingdon 024,83.9,46.3,25.8,108.4,74.9,80.3
E02000518,Hillingdon 025,83.1,45.3,24.8,108.3,76.6,80.8
E02000519,Hillingdon 026,83.4,45.1,24.4,111.1,77,80.6
E02000520,Hillingdon 027,85.6,47.7,25.5,95.2,76.3,80.6
E02000521,Hillingdon 028,85.6,48.2,28.8,92.2,74.7,82.6
E02000522,Hillingdon 029,84.7,47.7,24.9,99.4,74.9,82.3
E02000523,Hillingdon 030,87.1,47.8,24.3,77.4,78,84.5
E02000524,Hillingdon 031,86.3,46.4,24.3,94.8,76.4,83.8
E02000525,Hillingdon 032,87.4,47.8,24.5,76.5,76.6,83.9
E02006796,Hillingdon 033,86.4,46.1,25.6,103.5,78.3,82.5
E02000526,Hounslow 001,90.6,61.9,13,98.5,81.5,80.9
E02000528,Hounslow 003,84.1,49,22.6,105.9,75.1,81.4
E02000529,Hounslow 004,85.1,44.9,19.7,82,83.2,87.2
E02000530,Hounslow 005,83.8,44.7,23.2,86.8,76.2,82.4
E02000531,Hounslow 006,87,49.8,20.3,97.8,79.4,83.4
E02000532,Hounslow 007,87.9,57.4,15.5,106.5,79.8,83.7
E02000533,Hounslow 008,88,57.4,14.4,103.6,81.1,82.3
E02000534,Hounslow 009,88.7,51.3,15.6,88.9,80.4,82.4
E02000535,Hounslow 010,85.1,45.8,18.4,71.1,78.9,83.8
E02000536,Hounslow 011,85.2,46.3,18.1,76.5,76.9,82
E02000537,Hounslow 012,87.7,48.3,14.8,78.1,83.4,88.5
E02000538,Hounslow 013,85.4,47,20.2,72.1,77.9,82.3
E02000539,Hounslow 014,86.7,51.2,19.7,120.2,74.8,78.6
E02000540,Hounslow 015,86.2,48.9,17.5,101,80.4,82.9
E02000541,Hounslow 016,82.8,45,19.6,89.6,75.4,79.6
E02000542,Hounslow 017,84.8,47.1,18.7,97.1,76.3,79.7
E02000543,Hounslow 018,89.4,50.2,18.8,86.3,76.9,84.6
E02000544,Hounslow 019,86.4,47.1,19.6,81,82,86.8
E02000545,Hounslow 020,84.8,50.7,20.5,103.5,73.4,80.8
E02000546,Hounslow 021,87,47,20.1,78.1,77.8,84.8
E02000547,Hounslow 022,84.4,45.8,27.4,99.9,75.4,82.1
E02000548,Hounslow 023,84,45.3,26.8,116.5,77.3,79.9
E02000549,Hounslow 024,84.3,45.2,26.8,108.6,75.7,77.5
E02000550,Hounslow 025,88.3,49.2,30.4,117.5,77,81.1
E02000551,Hounslow 026,84,44.9,26.5,98.6,75.7,82.2
E02000552,Hounslow 027,88.7,49.3,28.3,97.5,80.3,82.8
E02000553,Hounslow 028,85.7,45.3,30.4,105.9,78.8,84.1
E02006792,Hounslow 029,87.6,55.8,12.8,116.5,78.5,87.2
E02000554,Islington 001,81.2,47.6,20.8,119.4,73.9,79
E02000555,Islington 002,84.2,50.9,18.4,134.8,76.9,79.5
E02000556,Islington 003,83.8,49.4,17.1,127.8,73.8,82
E02000557,Islington 004,81.1,47.5,17.6,106.6,72.7,80.2
E02000558,Islington 005,79.6,44.9,23,97.7,72.1,77.5
E02000559,Islington 006,88.4,57.7,15.2,107.9,77.5,83.4
E02000560,Islington 007,86.2,51.6,15,115,73,84.4
E02000561,Islington 008,87.8,55,14,122.1,76.6,82.6
E02000562,Islington 009,83.5,52.3,16.4,112.6,75.6,79.7
E02000563,Islington 010,81,46.2,21,110.9,73,80.9
E02000564,Islington 011,86.9,54.2,19.2,110.6,74.1,80
E02000565,Islington 012,83.7,49.5,19.5,110.1,79.5,81.2
E02000566,Islington 013,87.7,57.6,15,103.3,76.3,83.4
E02000567,Islington 014,84.6,53.3,17.1,115.2,74.7,81.8
E02000568,Islington 015,80.3,45.8,21.8,120.1,74.8,80.3
E02000569,Islington 016,82.8,49.5,17.6,100.7,77.5,84
E02000570,Islington 017,89,58.5,13.9,101.3,77.8,85.8
E02000571,Islington 018,81.1,49.8,19.3,107.8,75.7,81.7
E02000572,Islington 019,81.6,47.7,23.4,103.7,77.5,81.3
E02000573,Islington 020,87,58,14.2,138.6,76.5,78.5
E02000574,Islington 021,85.4,53.5,15.3,114.2,75.4,80.7
E02000575,Islington 022,87.9,55.8,17,82.9,79.7,84.4
E02000576,Islington 023,84.5,50.5,20.4,118,74.8,84
E02000577,Kensington and Chelsea 001,78.8,43.7,24.6,78.4,93,87.5
E02000578,Kensington and Chelsea 002,77.9,45.3,23.8,78.8,86.1,86.2
E02000579,Kensington and Chelsea 003,83.6,50.9,15.6,89.8,80.1,86.2
E02000580,Kensington and Chelsea 004,83.3,50.6,17.9,88.2,80.3,86.2
E02000581,Kensington and Chelsea 005,78,43.8,21,85.8,78.4,88.8
E02000582,Kensington and Chelsea 006,90.1,62,11.8,62.2,84.1,87
E02000583,Kensington and Chelsea 007,90.7,63.9,14,82,83.5,93
E02000584,Kensington and Chelsea 008,91.6,62.8,11.2,69.4,87.9,93.3
E02000585,Kensington and Chelsea 009,89.9,59.6,12.2,74.3,84.6,90.9
E02000586,Kensington and Chelsea 010,93.6,65.6,10.9,77.2,88.6,91.5
E02000587,Kensington and Chelsea 011,91.4,63.7,12.1,71.6,87.3,89.5
E02000588,Kensington and Chelsea 012,93.3,63.2,12.2,62.3,93.5,88.6
E02000589,Kensington and Chelsea 013,91,63.4,10.9,87.9,84.7,88.3
E02000590,Kensington and Chelsea 014,85.7,53.8,13.5,72.6,86,89.6
E02000591,Kensington and Chelsea 015,85.2,53.7,13.7,79.3,76.5,89.5
E02000592,Kensington and Chelsea 016,93.9,67.9,10.9,71.3,84.4,90.7
E02000593,Kensington and Chelsea 017,89.2,61.1,11.3,82.7,82.2,91.2
E02000594,Kensington and Chelsea 018,87.6,59.6,11.5,74.9,83,92.6
E02000595,Kensington and Chelsea 019,88.7,61.4,12.2,76.3,89,87.5
E02000596,Kensington and Chelsea 020,92,64.3,9.8,87,83.4,85.8
E02000597,Kensington and Chelsea 021,81.9,50.2,16.5,83.5,84.2,93.6
E02000598,Kingston upon Thames 001,89.5,57.8,15.9,102.7,84,87.6
E02000599,Kingston upon Thames 002,88.6,56.2,13.5,100.2,83.5,83.8
E02000600,Kingston upon Thames 003,89.6,57.3,13.1,96.2,81.7,84.9
E02000601,Kingston upon Thames 004,90.4,60.5,13.5,117.8,78.5,84.1
E02000602,Kingston upon Thames 005,86.1,52.1,13.3,127.7,75.8,78.2
E02000603,Kingston upon Thames 006,86.1,48.9,17.9,87,78.1,84.5
E02000604,Kingston upon Thames 007,88.4,52,15.4,89,81.1,84
E02000605,Kingston upon Thames 008,85.9,52,15.9,101.5,78.1,82.3
E02000606,Kingston upon Thames 009,90.5,55.3,12,109.3,83.3,85.4
E02000607,Kingston upon Thames 010,89.9,56.6,13.9,91,82.6,85.6
E02000608,Kingston upon Thames 011,89.4,54.5,12.4,93,79.2,79.6
E02000609,Kingston upon Thames 012,84.7,46.3,17,100.3,82.3,85.9
E02000610,Kingston upon Thames 013,85.1,51.1,13.7,98.2,78.9,81.6
E02000611,Kingston upon Thames 014,86.8,51.9,18.1,97.1,84.3,86.2
E02000612,Kingston upon Thames 015,86.5,50.6,19.2,90.8,81.8,81.8
E02000613,Kingston upon Thames 016,86.7,53.5,17,93.6,80,83.3
E02000614,Kingston upon Thames 017,86.9,48.6,21.8,88.9,80.5,86.9
E02000615,Kingston upon Thames 018,85.6,48,24.4,113.2,80.4,86.3
E02000616,Kingston upon Thames 019,88.2,49.6,25,83.5,81.4,86.7
E02000617,Kingston upon Thames 020,85.4,48.1,23.9,107.4,79.9,85.2
E02000619,Lambeth 002,84,48.1,23,100.8,75.5,81.6
E02000620,Lambeth 003,87.6,53.8,20.2,109.8,77.1,82.5
E02000621,Lambeth 004,87.3,54.2,18.9,121.5,74.2,80
E02000622,Lambeth 005,87.8,55,18.5,110.5,77.2,79.7
E02000623,Lambeth 006,85.7,48.4,24.8,107.9,79,81.4
E02000624,Lambeth 007,85.5,51.2,24.1,108,78.2,82.1
E02000625,Lambeth 008,86.5,50.2,25.4,103.2,74.9,79.3
E02000626,Lambeth 009,85.6,48.2,29.9,93.5,77.4,81.9
E02000627,Lambeth 010,87.9,52.9,20.8,107.9,77.9,83.9
E02000628,Lambeth 011,85.4,48.2,29.7,100.6,78.9,84.2
E02000629,Lambeth 012,89.8,59.7,15.8,107.3,77,82.7
E02000630,Lambeth 013,89.2,59.6,16,120.1,72.7,82.9
E02000631,Lambeth 014,88,53.7,17.6,118.9,77,83.2
E02000632,Lambeth 015,91,59.6,16.2,101.4,77,84.3
E02000633,Lambeth 016,85.9,52.2,21.1,108.9,76.8,79.5
E02000634,Lambeth 017,85.9,53.6,18.9,126.1,69.7,78.7
E02000635,Lambeth 018,88.1,54.5,20.1,113.1,76.2,83.3
E02000636,Lambeth 019,92.2,64.4,11.6,112,77.6,80.6
E02000637,Lambeth 020,89.1,55.1,17.9,131.3,77.9,80.5
E02000638,Lambeth 021,86.5,51.1,18.9,125.4,73,79.4
E02000639,Lambeth 022,86.2,50.7,24.5,105.8,77.3,83.6
E02000640,Lambeth 023,88.7,58.1,15.5,130.5,77.4,83.3
E02000641,Lambeth 024,84.6,49.7,28.9,107,73.2,78.1
E02000642,Lambeth 025,86.7,52.6,19,98.7,79.2,85.2
E02000643,Lambeth 026,87.9,54.3,18.3,96.3,79.2,83
E02000644,Lambeth 027,88.1,53.9,18.7,80.4,78.3,79.9
E02000645,Lambeth 028,88.7,55.3,18.9,114.4,78,81.6
E02000646,Lambeth 029,87.7,51.2,15.5,113.4,77,84.7
E02000647,Lambeth 030,86.1,51.4,19,119.9,77.4,79.3
E02000648,Lambeth 031,83.4,47.1,28.4,126.7,71.5,78.1
E02000649,Lambeth 032,88.7,51.5,17.8,130.2,76.8,77.7
E02000650,Lambeth 033,85.6,50.1,23.6,99.4,78.7,83.6
E02000651,Lambeth 034,87.2,50.7,19.9,113.6,78.8,80.1
E02000652,Lambeth 035,85.3,46.9,24.6,107.4,79,82.7
E02006801,Lambeth 036,87.7,53.2,17.7,102.3,76.1,82.2
E02000653,Lewisham 001,87.6,52.1,27.5,114.2,75.5,79.8
E02000654,Lewisham 002,85.5,47.7,28.7,104,74.9,82.4
E02000655,Lewisham 003,87.4,51.2,25.3,119,72.9,76.4
E02000657,Lewisham 005,88.4,49.9,21.8,114.6,77.1,82.3
E02000658,Lewisham 006,86.4,50.6,21.4,106.4,78.3,86
