MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English 
E02000791,Richmond upon Thames 008,14.08,17.71,30.19,23.66,14.36,56.9,15.2,26.7,4,42.3,87.5,5.8,1.1,9.1
E02000792,Richmond upon Thames 009,18.3,12.93,30.08,24.62,14.06,56.5,20.7,25.7,4.2,37.7,90.1,4.9,0.8,8.7
E02000793,Richmond upon Thames 010,19.59,18.05,22.61,24.26,15.5,61.4,24.4,22.5,9.5,26.5,77.1,14.6,2.4,8.2
E02000794,Richmond upon Thames 011,19.7,16.08,27.92,23.74,12.56,46,25.8,25.3,5.4,26.5,85,8.3,1,5.7
E02000795,Richmond upon Thames 012,23.31,11.82,20.44,26.49,17.95,5.5,27.1,20.1,7.4,28.1,88.5,5.2,1.4,8.2
E02000796,Richmond upon Thames 013,20.17,19.29,20.73,25.06,14.76,54.2,22.8,21.3,12.3,25.4,69.6,21.1,3.8,10.9
E02000797,Richmond upon Thames 014,16.88,18.1,34.76,21.29,8.97,78.4,20.1,26.3,4.6,36.2,89.9,4.7,1,5.3
E02000798,Richmond upon Thames 015,21.79,15.16,27.27,24.1,11.68,43.9,26.5,23,9.8,27.8,84,8.5,1.8,5.8
E02000799,Richmond upon Thames 016,18.22,22.92,21.87,25.95,11.04,50.9,24.8,25.1,6.9,31,90,4.4,1.1,4.7
E02000800,Richmond upon Thames 017,21.01,14.91,22.49,26.56,15.03,28.7,20.3,20.1,14.1,31.2,83,7.4,2.3,8.8
E02000801,Richmond upon Thames 018,20.22,14.82,27.86,26.23,10.88,67.4,24.9,24.3,6.7,32.6,91.4,4.2,0.8,3.5
E02000802,Richmond upon Thames 019,20.41,13.47,24.47,26.92,14.73,47.4,25.2,22.3,8.4,31.7,89.7,4.7,1.1,5.2
E02000803,Richmond upon Thames 020,19.25,15.81,21.95,27.25,15.75,47.9,19.8,22.8,11.9,32.8,83.7,9,2.3,6.5
E02000804,Richmond upon Thames 021,19.48,15.63,25.84,25.51,13.54,19.1,22.6,23.4,5.7,35.9,90.7,4.3,0.9,5.3
E02000805,Richmond upon Thames 022,20.44,15.86,23.89,26.47,13.35,38,23.4,20.8,7.5,36.9,88.6,5,1.6,5.4
E02000806,Richmond upon Thames 023,19.34,14.6,22.2,28.07,15.78,14.6,23.7,24.9,9.1,29.1,88.7,6.3,1,4.6
E02000807,Southwark 001,12.23,31.53,34.34,17.17,4.73,123.8,12.8,25.6,8,30.1,67.8,17.8,6.4,17.1
E02000808,Southwark 002,9.89,36.39,28.72,17.83,7.17,88.3,7,22,8.4,41.3,64.1,14.5,13.4,11.8
E02000809,Southwark 003,9.27,33.32,37.98,15.97,3.46,158.9,8.3,26.4,5.5,37.4,70.6,10.8,10.3,12.7
E02000810,Southwark 004,17.84,29.67,27.64,17.33,7.52,144.4,10.6,16,14.6,36.9,61.4,9.3,19.8,13.8
E02000812,Southwark 006,15.23,34.02,27.06,16.62,7.07,148.9,9.6,15.9,12.9,36.3,52,14.1,24.5,13.2
E02000813,Southwark 007,18.95,28.76,25.69,18.11,8.49,98.5,10.8,15.8,16,35,58.5,11.7,21.1,17.1
E02000814,Southwark 008,11.75,34.5,31.76,16.53,5.46,89.5,10.3,24.7,9.5,31.9,67.1,15.6,10.2,17.7
E02000815,Southwark 009,13.38,42.76,26.86,12.65,4.36,152.5,10.5,16.7,10.1,32,49.7,19.8,20.3,18.9
E02000816,Southwark 010,18.59,27.29,26.89,19.03,8.19,122.3,12.4,15.9,16.1,35.4,62.6,7.1,20.6,16.3
E02000817,Southwark 011,20.25,25.22,22.98,19.74,11.81,98,12.1,11.2,18.8,38.6,58.8,7.5,25.5,15.2
E02000818,Southwark 012,16.41,30.5,24.69,19.01,9.4,128.2,10,14.5,14.1,35.4,53.5,9.3,26.8,15.5
E02000819,Southwark 013,19.71,30.15,22.33,20.55,7.25,161.3,13.5,13.1,15.6,36.3,50,10.1,29.3,18.7
E02000820,Southwark 014,16.21,29.26,27.98,18.77,7.79,197.4,9.1,15,14.7,37.8,55.5,9.2,25.1,16.7
E02000821,Southwark 015,23.55,24.73,24.08,20.12,7.52,116.7,15.7,11.1,20.1,28.8,36.2,10.1,41.3,19.2
E02000822,Southwark 016,22.55,23.35,27,20.53,6.57,165.6,13.8,11.3,19.5,33.1,40.4,10.6,39.6,17.9
E02000823,Southwark 017,18.7,27.25,25.71,20.12,8.22,122.4,11.2,13.4,16.1,32.6,48.9,8.2,31.5,15.6
E02000824,Southwark 018,25.84,22.79,23.81,19.92,7.64,100.6,15.5,9.9,22.9,30.1,29.9,6.8,51.3,16.1
E02000825,Southwark 019,25.98,23.33,25.88,18.92,5.89,181.6,15.8,11.4,24.1,26.8,26,8.2,54.5,16
E02000826,Southwark 020,20.75,25.36,26.76,19.71,7.43,165.7,13.7,13.8,16.7,33.9,42.9,8.2,38,15.2
E02000827,Southwark 021,21.35,23.24,27.04,21.4,6.97,153.3,12.5,11.7,18,36.2,37.1,8.3,43.8,18.6
E02000828,Southwark 022,22.52,24.3,25.5,20.92,6.75,134.9,13.8,12.1,20.4,30.5,32.3,10.2,46.2,17.5
E02000829,Southwark 023,18.66,24.55,27.35,20.44,9,137,12.1,14.8,15.8,36.5,41.4,6.7,41.3,13.1
E02000830,Southwark 024,16.3,25.15,29.66,20.68,8.21,107.7,14.4,19.8,10.1,33.9,60.9,6.9,23.4,9.5
E02000831,Southwark 025,18.5,21.93,32.02,19.34,8.2,119.1,15.7,18.2,12.6,32.8,56.5,7.1,27.3,9.1
E02000832,Southwark 026,21.77,20.89,26.55,21.19,9.6,119.3,14.6,14.2,17.7,35.5,44,6.2,39.7,10.4
E02000833,Southwark 027,21.92,25.03,27.3,19.24,6.51,94.4,16.5,15.2,20.3,28.8,47.5,9.8,32.5,11.8
E02000834,Southwark 028,15.52,20.58,36.18,19.65,8.07,76.4,15.2,23.2,8.4,35.7,70.2,5.5,15.8,6.6
E02000835,Southwark 029,21.75,18.86,28.65,21.88,8.86,49.8,20.1,19.7,15.5,28,61.4,4.9,25.6,7.3
E02000836,Southwark 030,19.62,17.32,32.66,21.5,8.9,109.8,22.4,25.2,8.9,26.6,74.1,5.1,13.7,5.1
E02000837,Southwark 031,24.55,14,24.46,25.66,11.34,37.9,30.5,21.7,7.4,21.7,81.3,6,6,3.9
E02000838,Southwark 032,19.71,17.67,31.07,22.43,9.13,87.1,18.9,21.8,12.2,29.8,69.8,5.4,17.3,7.1
E02000839,Southwark 033,20.89,16.81,25.58,23.77,12.94,29.5,17.5,20.1,14.4,31.1,63.9,8.4,19.5,6.5
E02006802,Southwark 034,11.97,39.34,23.76,18,6.93,111.5,9.7,16.9,12.6,38.1,56.9,15,19.2,12.8
E02000840,Sutton 001,24.64,19.92,25.47,20.23,9.74,61.4,23.5,16.9,19.5,29.1,74.8,10.9,8.4,8.5
E02000841,Sutton 002,23.98,19.69,24.53,21.26,10.55,77.2,22.7,17.2,19,28,72.7,14,7.5,11.7
E02000842,Sutton 003,19.02,17.57,19.79,28.39,15.24,47.3,24.3,25.8,10.3,23.2,77.5,14.5,4.1,7.5
E02000843,Sutton 004,20.72,19.55,27.34,21.97,10.42,59.5,20.9,22,11.5,35,79.7,7.7,6.8,5.9
E02000844,Sutton 005,21.93,18.36,23.96,23.76,11.99,78.2,23.5,21.2,14.5,28.6,80.8,7.9,7,5.5
E02000845,Sutton 006,22.07,16.07,27.99,22.96,10.91,61.8,27.2,24.3,10.3,24.3,80.1,12.1,1.8,8.5
E02000846,Sutton 007,19.82,15.57,21.95,26.19,16.48,52.3,25,23.9,10.4,24.1,78.1,12.8,4.7,7.7
E02000847,Sutton 008,17.96,15.74,20.07,26.84,19.39,57.8,23.4,24,7.3,27.9,83.1,11.2,1.7,5
E02000848,Sutton 009,21.71,16.34,21.02,27.01,13.92,68.4,28.8,24.6,9.8,21.2,82.3,12.3,1.7,5.8
E02000849,Sutton 010,20.59,17.37,23.74,25.72,12.59,64.2,22.3,23,12.5,29.9,80.7,8.8,5.4,5.3
E02000850,Sutton 011,20.69,16.16,22.23,27.58,13.34,21,25.7,24.2,11.1,25.4,76.5,11.2,7.9,5
E02000851,Sutton 012,17.56,19.84,27.59,20.5,14.5,75.9,15,18.5,11.1,43.8,75.1,12.2,6.8,11.8
E02000852,Sutton 013,18.98,17.58,26.22,25.28,11.95,79.4,23,24.8,9.5,30.1,82.9,8.7,3.6,7.1
E02000853,Sutton 014,21.47,17.35,25.71,23.89,11.58,61.8,24.3,20.6,12,29.6,79.1,11.5,3.8,8.1
E02000854,Sutton 015,19.49,15.48,24.43,26.48,14.12,44.2,23.6,25.3,9,29.1,87.3,5.4,2.9,3.8
E02000855,Sutton 016,19.73,15.18,20.02,28.03,17.04,42.3,26.3,23.8,7.6,25.3,83,11.4,1.7,4.8
E02000856,Sutton 017,18.29,18.52,22.14,26.83,14.22,67.8,20.6,23.4,8.6,33.7,77.3,12.8,4.3,6.2
E02000857,Sutton 018,14.85,18.1,30.51,19.86,16.67,79.5,15.4,19.4,6.9,46.5,73.8,16.1,4.5,12
E02000858,Sutton 019,25.52,20.1,22.82,21.32,10.23,51.4,19.6,15.6,20.1,33.3,72.6,11.9,8.5,7.4
E02000859,Sutton 020,17.91,16.56,19.78,26.39,19.36,48.4,19.6,22.3,9.9,33,81.5,8.9,5.2,4.8
E02000860,Sutton 021,16.25,18.97,28.92,20.78,15.08,90.4,13.6,19.3,8.8,48.2,73.2,13.4,6,11.3
E02000861,Sutton 022,17.9,15.79,16.79,31.96,17.55,29.3,26.4,29.8,6.4,17.9,82.8,11,2.5,3.9
E02000863,Sutton 024,19.35,15.5,17.68,30.45,17.01,9.6,24.9,27.1,9.6,20.3,76.3,14.3,5.6,3.1
E02006836,Sutton 025,18.36,13.28,19.5,28.48,20.39,25.1,24.8,26.5,5.6,23.9,76.8,16.4,2.2,5
E02000864,Tower Hamlets 001,20.94,27.29,24.89,17.21,9.68,67.1,12.8,14.8,15.9,34.9,55.2,25.8,12,14
E02000865,Tower Hamlets 002,21.08,29.33,26.07,16.01,7.52,158.6,16,12.2,12.1,35.6,46.9,38.2,7.8,19.9
E02000866,Tower Hamlets 003,17.8,30.91,25.52,17.72,8.04,85.1,14.2,18.9,10.7,31.1,65.5,21.4,7,11.9
E02000867,Tower Hamlets 004,16.56,37.54,28.16,12.48,5.27,126,10.3,21.1,11.2,33.5,57.9,27.2,7,15.1
E02000868,Tower Hamlets 005,15.88,36.52,28.6,12.55,6.45,190.7,12,18.4,8.6,32.5,54.4,32.8,5.5,17.6
E02000869,Tower Hamlets 006,17.06,28.68,29.08,16.56,8.62,177.6,12.2,16.1,10.5,38,56.3,28.7,7.8,18.3
E02000870,Tower Hamlets 007,19.9,31.33,25.52,15.22,8.03,164.7,14.5,14.5,12.6,32.9,54,32.9,6,16.3
E02000871,Tower Hamlets 008,26,29.47,25.53,12.78,6.22,138.2,19.9,13.6,14.7,31.3,28,53.2,12.1,27.7
E02000872,Tower Hamlets 009,17.56,36.01,28.16,12.5,5.77,171.2,11.7,14.3,10.5,34,48.9,38.4,6.2,21.5
E02000873,Tower Hamlets 010,18.15,43.91,22.35,10.09,5.51,175.1,16.3,13.6,10.8,31.9,42.5,44.5,6.9,24.9
E02000874,Tower Hamlets 011,22.53,35.11,23.36,13.13,5.88,206.7,17.6,12.1,11.7,34.8,33.7,53.7,7.5,29
E02000875,Tower Hamlets 012,25.31,31.29,24.48,13.89,5.03,153.4,19.8,12,14.3,31.4,34.8,47.4,11.7,26.4
E02000876,Tower Hamlets 013,16.85,39.45,25.69,13.23,4.77,134.6,13.4,15.7,7.2,37,37.7,50.2,6.1,26.5
E02000877,Tower Hamlets 014,24.88,32.75,24.18,12.29,5.91,127.6,21.7,10.8,14.1,27,32,53,9.9,27.5
E02000878,Tower Hamlets 015,13.71,40.89,26.6,13.25,5.55,168.6,11.4,17.2,5.8,37.6,45.3,44.9,4.5,27.2
E02000879,Tower Hamlets 016,19.94,32.38,22.57,14.58,10.53,175.8,16.3,13.5,10.2,36.1,40.7,46.6,5.7,23.6
E02000880,Tower Hamlets 017,20.24,34.26,25.36,13.02,7.12,158.5,17.1,11.8,9,34.5,36.5,52.5,4.8,27.8
E02000881,Tower Hamlets 018,28.73,25.3,23.68,16.59,5.7,99.8,21.1,13.3,17.3,30.4,34.8,46.7,12,23.4
E02000882,Tower Hamlets 019,27.07,26.99,25.45,13.81,6.68,151.2,23.1,13.7,13,30.7,29.6,58.1,7.2,25.8
E02000883,Tower Hamlets 020,26.93,25.86,23.51,15.58,8.11,172.3,19.1,11.1,18.4,32.1,37.7,45.2,11.4,25.8
E02000884,Tower Hamlets 021,13.91,43.98,27.34,10.06,4.71,171.6,9.8,17.2,5.8,34.3,42,48,4.1,28.6
E02000885,Tower Hamlets 022,23.63,29.22,24.64,14.01,8.5,204.1,16.8,12.8,14.5,34.2,30.3,56.6,7.4,31.3
E02000886,Tower Hamlets 023,17.99,28.32,32.76,15.36,5.57,152,14,20.8,8.1,35.9,49.5,38.5,6.3,21.6
E02000887,Tower Hamlets 024,25.9,27.88,26.03,13.45,6.74,152.7,19.1,12.5,17.3,30,37.8,46.6,9.7,26.4
E02000888,Tower Hamlets 025,21.35,30.18,31.53,12.42,4.53,159,16.9,20,8,34.5,40,47.9,7,25.3
E02000889,Tower Hamlets 026,16.93,30.08,31.47,16.19,5.34,119.2,14.1,17.3,7,38.6,50.5,39.2,4.1,20.9
E02000890,Tower Hamlets 027,9.94,25.95,36.38,20.79,6.94,104.4,9.1,26.3,3.6,45.9,76,16.5,2.2,14.7
E02000891,Tower Hamlets 028,16.9,36.17,33.48,10.13,3.33,88.3,12,22.7,9.1,35.4,45.2,39.1,8.1,26.7
E02000893,Tower Hamlets 030,19.49,26.18,30.31,16.78,7.24,97,16,18.3,11.8,34.5,57.6,30.5,5.3,20.7
E02000894,Tower Hamlets 031,14.74,32.79,34.78,14.09,3.6,195.3,13.1,25.3,7.3,34.3,57.3,32.2,4.4,23.2
E02006853,Tower Hamlets 032,18.04,34.99,31.13,11.62,4.22,155,11.7,20.7,9.8,41.1,45.6,38.2,7.7,27.1
E02006854,Tower Hamlets 033,14.01,33.2,38.26,12.14,2.4,71,10.4,27.5,4.7,41.4,51.9,34.8,5.3,27
E02000895,Waltham Forest 001,19.31,16.03,18.39,24.39,21.88,36.1,18.5,18.7,13.3,31.9,78.1,6.7,8.9,5.2
E02000896,Waltham Forest 002,17.12,16.68,20.52,27.39,18.29,31.1,18.8,22.3,9.7,34.4,86.1,4.4,4.3,3.7
E02000897,Waltham Forest 003,20.99,16.9,21.43,23.94,16.74,43.3,18.4,19,16.5,32.8,76.1,6.9,9.7,6.9
E02000898,Waltham Forest 004,19.66,18.1,19.88,25.87,16.48,50.2,20.2,21.1,14.8,28.9,74.3,8.2,9.7,5.4
E02000899,Waltham Forest 005,18.54,19.32,19.34,26.49,16.31,66.2,19.9,21.5,13.4,28.1,72.2,8.5,11.2,8.4
E02000900,Waltham Forest 006,22.03,20.2,21.09,24.26,12.41,52.5,20.4,19.1,17.8,26.5,58.1,13.9,19.4,11.1
E02000901,Waltham Forest 007,20.44,18.03,21.4,27.14,13,55,24.9,23.4,11,26,77.1,8.6,7.1,5.4
E02000902,Waltham Forest 008,23.75,19.55,23.27,22.99,10.45,68,21.3,18.1,16.2,28.6,55.3,15.6,19.1,13.1
E02000903,Waltham Forest 009,25.1,21.22,23.69,21.39,8.6,46.7,20.6,14.5,20.6,26.2,47.4,20.4,22.7,17.3
E02000904,Waltham Forest 010,23.64,21.17,24.73,22.35,8.11,57.6,23.4,17.7,13.9,24.8,52.4,18.2,19.3,15.4
E02000905,Waltham Forest 011,22.8,21.16,27.6,19.79,8.65,94.2,21,16.3,13.1,26.5,50.1,23.2,16.6,19.8
E02000906,Waltham Forest 012,23.52,20.04,30.73,17.87,7.84,152.2,19.1,16.2,14.8,29.4,50.9,24,15.5,19.9
E02000907,Waltham Forest 013,25.03,22,25.7,17.9,9.37,114.6,19.6,12.6,16.5,36.6,44.8,17.9,24.5,21.8
E02000908,Waltham Forest 014,19.96,27.15,29.06,16.77,7.06,46.8,16.3,14.9,10.7,34.7,50.5,19.3,18.4,22.3
E02000909,Waltham Forest 015,21.39,19.26,29.29,20.97,9.09,63.6,21.2,19,10.5,32.7,55.8,19.7,15.9,14.3
E02000910,Waltham Forest 016,19.41,24.65,29.06,18.64,8.24,138.4,18.5,17.6,9.9,31.1,46.1,32.2,13.3,22.6
E02000911,Waltham Forest 017,21.35,24.6,29.67,17.8,6.59,126.2,18.8,15.5,12,31.5,45.4,28.6,15.7,24
E02000912,Waltham Forest 018,24.17,21.62,25.85,18.88,9.48,37.3,22.1,15.2,14.5,26.8,40.2,31.7,17.6,19.8
E02000913,Waltham Forest 019,19.94,25.65,23.46,20.45,10.51,84,19.2,17.5,11.5,26.1,41.2,34.8,15.9,19.6
E02000914,Waltham Forest 020,22.47,27.53,24.59,17.25,8.16,155.8,18.1,12.7,15.3,31.9,32.1,35.9,22.6,28.5
E02000915,Waltham Forest 021,16.94,26.99,26.77,20.94,8.35,59.3,15.4,19.1,10.9,32,54,21.9,14.7,15.4
E02000916,Waltham Forest 022,25.54,20.79,29.11,17.73,6.83,42.9,22.1,14.1,15.6,28.9,38.9,23.7,26.4,24.2
E02000917,Waltham Forest 023,23.4,24.71,28.81,16.39,6.7,137.4,21.2,14.6,12.1,28.2,46.9,22,20.4,23.5
E02000918,Waltham Forest 024,19.14,26.61,28.39,18.96,6.9,110.6,17.9,16.2,12.2,30.2,48.1,24.3,16.9,20.3
E02000919,Waltham Forest 025,17.47,29.44,28.22,17.18,7.69,167.1,17.1,17,9.8,25.6,44.2,31.2,14.9,26.1
E02000920,Waltham Forest 026,20.12,30.2,23.96,18.6,7.12,55.4,15.3,13.7,16.5,29.4,36.3,29.3,24.8,26.2
E02000921,Waltham Forest 027,22.67,26.6,25.81,17.99,6.94,133,16.8,13.8,17.7,29.5,40.1,23.1,26.1,24.1
E02000922,Waltham Forest 028,20.57,29.4,24.76,18.34,6.93,164,18.2,14.5,14.3,26.4,44,20.8,26,23.4
E02000923,Wandsworth 001,12.62,24.32,29.54,20.73,12.79,72.7,11.1,21.3,7,39.9,79.4,5.9,7,12.8
E02000924,Wandsworth 002,15.21,31.7,28.67,17.14,7.29,57.4,7.7,15.8,13.8,40.9,56.3,9.8,22.2,20.8
E02000925,Wandsworth 003,20.58,25.11,26.87,18.59,8.84,180,12.1,13.8,17.4,36.1,60.4,6.8,23.7,15.1
E02000926,Wandsworth 004,12.12,28.44,33.5,17.61,8.33,144.8,9.6,21.8,8.4,37.5,72.8,8,11.2,12.7
E02000927,Wandsworth 005,13.05,29.81,29.1,18.31,9.73,155.5,9.9,20,11.7,35.3,75.4,4.9,12.5,6.9
E02000928,Wandsworth 006,17.26,20.32,31.91,20.56,9.94,88.9,19.7,25.9,6,29.2,88.9,4.1,2.3,5.4
E02000929,Wandsworth 007,20.49,27.47,24.86,17.42,9.76,179.6,10.6,12.2,20.8,37.2,46,10.4,33.3,17.4
E02000930,Wandsworth 008,11.36,35.33,34.15,13.14,6.03,123.9,11.5,22.7,6.7,30.4,79.2,5.8,8.4,8.1
E02000931,Wandsworth 009,16.93,26.15,36.25,14.77,5.89,111.4,19.8,24,3.9,27.5,87.1,3.7,4.3,6
E02000932,Wandsworth 010,11.6,29.44,37.03,15.2,6.73,81.3,12.9,27.8,3.6,32.1,84.2,7.8,2.9,7.9
E02000933,Wandsworth 011,15.41,23.85,27.62,21.18,11.95,80,16.6,24.1,5.8,32.7,83.4,7.2,3.4,8.7
E02000934,Wandsworth 012,11.13,32.2,34.74,15.78,6.15,119.5,9.8,25.2,8,33.8,76.7,6.5,10.6,7.3
E02000935,Wandsworth 013,19.96,34.57,19.4,15.84,10.23,49.1,14.4,9.8,20.9,34.8,64.1,10.5,15.4,18.8
E02000936,Wandsworth 014,10.95,27.8,32.29,16.45,12.51,94.3,10,22.8,5.4,38.2,79.4,8.8,4.3,10.7
E02000937,Wandsworth 015,21.78,19.38,33.18,19.3,6.36,64,23.8,23.4,6.1,27.9,87.1,3.5,5.2,5.6
E02000938,Wandsworth 016,18.78,23.81,24.36,19.4,13.65,55.6,14.3,15.7,14.5,35.5,71.3,8.8,11.2,14.6
E02000939,Wandsworth 017,23.78,16.68,28.85,20.32,10.37,110.3,29.5,22.5,6.4,23,86.3,5,3.9,7.1
E02000940,Wandsworth 018,17.5,27.2,32.33,15.3,7.67,112.4,12.8,21.7,12.4,33.2,62.6,13.2,15.8,15.1
E02000941,Wandsworth 019,19.05,20.25,34.52,18.68,7.49,94.9,20.7,26,6.3,29,82.6,6.6,6.3,5.3
E02000942,Wandsworth 020,19.75,20.99,28.77,21.08,9.41,91.3,23.3,24.7,6.1,25.8,79.3,12.4,3,9.6
E02000943,Wandsworth 021,14.87,28.2,33.77,15.82,7.36,118.6,15.2,23.7,5.7,32.2,79.4,8,7.5,7.7
E02000944,Wandsworth 022,19.82,25.37,28.27,18.03,8.52,120.1,16,17,16.8,31.1,61.5,16.8,12.9,19.3
E02000945,Wandsworth 023,17.06,34.13,20.89,17.41,10.5,35.5,13.8,12.8,15.5,32.8,65.4,12.2,12.2,20
E02000946,Wandsworth 024,13.76,26.74,34.16,18.15,7.2,78.5,15.6,25.3,9.1,28.2,72.5,8.8,12.1,8.1
E02000947,Wandsworth 025,16.96,19.91,37.74,17.66,7.73,99.9,20.5,26,5.8,30.7,81.8,8.8,4.1,8.5
E02000948,Wandsworth 026,12.35,31.94,34.95,13.45,7.31,73.3,11.8,25.8,6,31.6,74.5,10.8,8.8,7.9
E02000949,Wandsworth 027,17.14,23.76,30.81,19.69,8.59,68.2,19.3,24.5,4.9,31.5,82.4,7.3,5.3,6.3
E02000950,Wandsworth 028,17.7,23.37,30.17,19.24,9.53,85.8,17.4,21.2,9.6,31.6,73.4,12.7,6.1,14
E02000951,Wandsworth 029,13.34,29.2,30.86,17.77,8.83,131.2,12,23,7.5,34.6,71.4,12.3,9.8,8.9
E02000952,Wandsworth 030,16.64,25.6,30.54,19.16,8.05,106.5,15.2,21.4,8.4,32.9,72.5,10.7,10.4,9.9
E02000953,Wandsworth 031,14.79,28.05,36.48,14.29,6.39,105.6,16,23.5,6.3,37,71.7,12.6,9.7,10.1
E02000954,Wandsworth 032,18.7,25.84,28.31,17.39,9.77,139.8,18.5,19.7,10.9,23.2,52.4,28.4,12.6,15
E02000955,Wandsworth 033,19.59,27.38,25.41,17.29,10.34,117.6,16.4,16.2,16,25.8,46.5,29.4,15.4,16.7
E02000956,Wandsworth 034,17.12,33.37,27.07,15.21,7.23,89.1,12.2,16.9,12.9,30.4,49,23.6,18.1,18.6
E02000957,Wandsworth 035,16.89,27.05,31.65,15.73,8.69,145.8,15.4,20.2,10.5,28.2,52.4,25.8,14.2,19.8
E02000958,Wandsworth 036,22.28,20.81,22.88,23.06,10.98,95,22.8,17,12.4,28.5,59.9,18.5,14.2,12.7
E02000959,Wandsworth 037,21.78,20.89,30.18,18.6,8.56,145.7,17.2,17.1,14.4,33.8,53.4,14.1,23,18.7
E02000960,Westminster 001,16.28,19.09,26.28,21.4,16.93,73,15.6,18.3,6.9,40.8,61.3,21.2,3.3,22.1
E02000961,Westminster 002,20.75,18.83,27.72,20.76,11.95,118.5,18.3,18.3,11.2,35.4,62.5,14.3,5.7,21.8
E02000962,Westminster 003,15.48,20.04,27.31,20.28,16.89,125.2,11.9,15.1,7.4,50.4,55.2,20.3,5.6,26.9
E02000963,Westminster 004,22.68,20.94,25.69,20.52,10.17,218.4,15.6,14.1,21.6,33.3,47.1,14.5,20.1,19.6
E02000964,Westminster 005,18.74,22.81,30.51,19.33,8.61,251.6,11.9,16.1,15.9,39.4,49.9,12.1,17.7,21.4
E02000965,Westminster 006,15.75,23.29,37.42,16.91,6.63,176.2,13.6,20.6,10.2,35.8,66,10.4,8.3,19
E02000966,Westminster 007,15.46,18.39,33.98,22.74,9.43,170.9,14.6,23.1,6.2,41.3,70.1,10.1,4.1,20.3
E02000967,Westminster 008,10,31.9,28.3,18.52,11.28,54.3,9.4,20.5,4.6,43.5,60.7,21.2,3.3,27.4
E02000968,Westminster 009,23.23,22.42,23.05,19.95,11.36,240.2,14.6,12,19.4,37.7,38.5,21.4,13.3,33
E02000969,Westminster 010,23.64,20.68,26.56,18.76,10.37,174.7,16.2,11.6,20.1,35.5,42.7,15.1,16,33
E02000970,Westminster 011,9.41,23.79,31.82,22.31,12.68,85.8,8.7,20.8,3.5,48.4,73.2,11.7,2.8,23.3
E02000971,Westminster 012,10.72,29.12,30.51,19.35,10.31,154,8.4,18.3,5.5,49.8,63.6,14.1,3.5,31
E02000972,Westminster 013,7.01,31.07,31.9,20.62,9.41,66.7,5.2,17.6,4.7,55.6,67.5,16.2,5,24.3
E02000973,Westminster 014,12.97,21.65,35.21,20.15,10.02,185.8,9.6,20.2,6.5,48.4,69.6,10.5,6.2,23.1
E02000974,Westminster 015,14.5,25.95,29.13,19.32,11.1,129.6,10.1,15.3,7.6,50.7,52.2,16.3,4.9,37.9
E02000975,Westminster 016,10.12,30.5,36.37,15.83,7.18,184.4,8.6,21.5,4.3,49.5,66.2,14.7,3,32.7
E02000976,Westminster 017,11.5,31.27,32.66,15.71,8.86,212.8,8.8,18.2,5.8,47.2,63,14.4,4.9,35.1
E02000977,Westminster 018,6.05,31.21,28.25,22.54,11.95,32.4,4.9,17.7,4.1,55.6,69.3,17.7,3.6,21.8
E02000978,Westminster 019,11.47,29.49,22.71,23.16,13.17,26.4,11.6,20.3,4.7,45.1,69.6,14.9,2.4,25.7
E02000979,Westminster 020,12.72,24.6,26.38,24.37,11.93,60.2,9.9,21.1,6.7,48,73.6,10.7,6.2,20.5
E02000980,Westminster 021,14.71,22.41,26.68,22.95,13.25,201.5,10.1,17.5,10.2,47.2,67.9,13.7,7.9,20.4
E02000981,Westminster 022,10.15,27.53,30.93,21.9,9.49,250.5,7.9,21.6,5.3,48,79.1,8.1,4.8,16.5
E02000982,Westminster 023,17.58,20.53,26.19,22.31,13.4,131.3,10.7,15.6,11.4,48.2,64.3,14.1,8.6,21.7
E02000983,Westminster 024,14.9,20.74,27.27,21.75,15.34,229.2,9.1,15.8,9.5,50.3,70.3,11.5,7,19.1
,,,,,,,,17.8,18.9,12.7,31.6,,,,
